Category: All categories,
,
Day,covid: (Worldwide)
2020-01-02,0
2020-01-03,0
2020-01-04,0.4
2020-01-05,0
2020-01-06,0.4
2020-01-07,0
2020-01-08,0
2020-01-09,0.4
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0.4
2020-01-14,0
2020-01-15,0.4
2020-01-16,0
2020-01-17,0.4
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0.4
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0.4
2020-01-28,0.4
2020-01-29,0
2020-01-30,0.4
2020-01-31,0.4
2020-02-01,0
2020-02-02,0
2020-02-03,0.4
2020-02-04,0.4
2020-02-05,0
2020-02-06,0
2020-02-07,0.4
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0.4
2020-02-12,1
2020-02-13,1
2020-02-14,1
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,2
2020-02-23,2
2020-02-24,3
2020-02-25,4
2020-02-26,5
2020-02-27,5
2020-02-28,5
2020-02-29,5
2020-03-01,5
2020-03-02,7
2020-03-03,7
2020-03-04,8
2020-03-05,9
2020-03-06,10
2020-03-07,11
2020-03-08,12
2020-03-09,17
2020-03-10,20
2020-03-11,26
2020-03-12,42
2020-03-13,48
2020-03-14,47
2020-03-15,57
2020-03-16,71
2020-03-17,74
2020-03-18,78
2020-03-19,78
2020-03-20,83
2020-03-21,85
2020-03-22,93
2020-03-23,100
2020-03-24,97
2020-03-25,95
2020-03-26,95
2020-03-27,97
2020-03-28,100
2020-03-29,94
2020-03-30,95
2020-03-31,90
2020-04-01,93
2020-04-02,93
2020-04-03,91
2020-04-04,91
2020-04-05,88
2020-04-06,92
2020-04-07,85
2020-04-08,83
2020-04-09,80
2020-04-10,80
2020-04-11,75
2020-04-12,70
2020-04-13,80
2020-04-14,78
2020-04-15,79
2020-04-16,81
2020-04-17,80
2020-04-18,72
2020-04-19,73
2020-04-20,73
2020-04-21,71
2020-04-22,73
2020-04-23,70
2020-04-24,68
2020-04-25,63
2020-04-26,65
2020-04-27,71
2020-04-28,70
2020-04-29,69
2020-04-30,67
2020-05-01,66
2020-05-02,63
2020-05-03,64
2020-05-04,67
2020-05-05,65
2020-05-06,64
2020-05-07,66
2020-05-08,63
2020-05-09,60
2020-05-10,59
2020-05-11,65
2020-05-12,63
2020-05-13,64
2020-05-14,63
2020-05-15,61
2020-05-16,57
2020-05-17,58
2020-05-18,62
2020-05-19,61
2020-05-20,60
2020-05-21,60
2020-05-22,57
2020-05-23,52
2020-05-24,51
2020-05-25,55
2020-05-26,57
